Date,Open,High,Low,Close,Adj Close,Volume
2002-04-09,4.177320,4.324380,4.177320,4.236940,2.825548,1041885103
2002-04-10,4.236940,4.252830,4.129620,4.213090,2.809643,170948729
2002-04-11,4.213090,4.244880,4.169370,4.181290,2.788436,57334550
2002-04-12,4.173340,4.228990,4.165390,4.201160,2.801687,53480608
2002-04-15,4.201160,4.213090,4.113720,4.129620,2.753978,46623689
2002-04-16,4.113720,4.129620,4.030260,4.038210,2.693018,62711770
2002-04-17,4.034230,4.077950,4.010380,4.062050,2.708916,28831345
2002-04-18,4.054100,4.054100,4.014360,4.022310,2.682414,21469468
2002-04-19,4.014360,4.034230,3.970640,4.030260,2.687716,39556696
2002-04-22,4.014360,4.014360,3.970640,3.978590,2.653259,16589866
2002-04-23,3.974610,4.010380,3.938840,3.974610,2.650604,18559158
2002-04-24,3.974610,3.974610,3.855370,3.883200,2.589644,43378722
2002-04-25,3.875250,3.914990,3.871270,3.899090,2.600241,25059739
2002-04-26,3.903070,3.930890,3.895120,3.911020,2.608197,20553489
2002-04-29,3.911020,3.926920,3.859350,3.914990,2.610844,22734517
2002-04-30,3.930890,4.034230,3.895120,3.982560,2.655906,45947902
2002-05-01,3.930890,4.034230,3.895120,3.982560,2.655906,0
2002-05-02,3.930890,4.034230,3.895120,3.982560,2.655906,0
2002-05-03,3.930890,4.034230,3.895120,3.982560,2.655906,0
2002-05-06,3.930890,4.034230,3.895120,3.982560,2.655906,0
2002-05-07,3.930890,4.034230,3.895120,3.982560,2.655906,0
2002-05-08,3.974610,3.986540,3.926920,3.934870,2.624102,10638419
2002-05-09,3.930890,4.006410,3.926920,3.950760,2.634699,11247374
2002-05-10,3.938840,3.946790,3.895120,3.899090,2.600241,11670273
2002-05-13,3.895120,3.895120,3.807680,3.823580,2.549885,32016960
2002-05-14,3.815630,3.831530,3.759980,3.767930,2.512773,20731456
2002-05-15,3.759980,3.795750,3.688440,3.692410,2.462409,24425999
2002-05-16,3.688440,3.688440,3.604970,3.636770,2.425304,49104527
2002-05-17,3.648690,3.696390,3.597020,3.676520,2.451813,25185134
2002-05-20,3.628820,3.648690,3.549330,3.569200,2.380243,28423086
2002-05-21,3.648690,3.676520,3.589070,3.648690,2.433254,31722226
2002-05-22,3.652670,3.656640,3.541380,3.553300,2.369639,18463083
2002-05-23,3.557280,3.628820,3.553300,3.569200,2.380243,18087115
2002-05-24,3.569200,3.593050,3.481760,3.525480,2.351086,26483093
2002-05-27,3.533430,3.557280,3.489710,3.541380,2.361690,13685474
2002-05-28,3.541380,3.573180,3.537400,3.545350,2.364338,14108743
2002-05-29,3.545350,3.553300,3.426110,3.445990,2.298076,18819828
2002-05-30,3.442010,3.489710,3.386370,3.477780,2.319276,33160045
2002-05-31,3.469840,3.521510,3.442010,3.457910,2.306025,11747561
2002-06-03,3.457910,3.457910,3.457910,3.457910,2.306025,0
2002-06-04,3.430090,3.577150,3.394320,3.521510,2.348439,53629798
2002-06-05,3.664590,3.664590,3.465860,3.473810,2.316629,23019801
2002-06-06,3.473810,3.608950,3.449960,3.577150,2.385545,31527591
2002-06-07,3.581120,3.601000,3.537400,3.569200,2.380243,29589449
2002-06-10,3.569200,3.601000,3.549330,3.573180,2.382897,12353767
2002-06-11,3.573180,3.581120,3.545350,3.553300,2.369639,7165865
2002-06-12,3.577150,3.577150,3.497660,3.525480,2.351086,7640377
