order,S_num,Gain,Price,Right
1,601318,3.08,1.82,0.77
2,601601,3,1.14,0.83
3,600048,2.76,1.53,0.81
4,600036,2.56,1.52,0.81
5,600887,2.53,1.58,0.81
6,600029,2.41,1.34,0.76
7,600519,2.32,2,0.79
8,600111,2.31,1.03,0.75
9,601336,2.29,0.95,0.78
10,600893,2.21,0.8,0.79
11,601688,2.11,1,0.8
12,600104,2.08,1.26,0.8
13,601088,1.99,1.23,0.82
14,601288,1.97,1.2,0.83
15,601398,1.93,1.32,0.8
16,601006,1.88,1.16,0.81
17,600028,1.84,1.15,0.8
18,601628,1.83,0.97,0.76
19,601668,1.75,0.94,0.76
20,600030,1.74,1.17,0.76
21,601988,1.73,1.07,0.82
22,601998,1.73,0.93,0.79
23,601766,1.72,0.96,0.75
24,600050,1.71,0.87,0.84
25,600518,1.71,1.05,0.79
26,601186,1.7,0.8,0.75
27,600109,1.66,0.64,0.79
28,601800,1.66,0.84,0.78
29,600999,1.62,1,0.77
30,601818,1.59,0.99,0.82
31,600547,1.56,0.77,0.81
32,600016,1.54,0.85,0.79
33,601377,1.53,0.83,0.77
34,601328,1.52,1.03,0.79
35,601901,1.44,0.76,0.79
36,601211,1.43,0.93,0.78
37,601788,1.43,0.78,0.8
38,600958,1.42,0.75,0.75
39,600637,1.4,0.74,0.77
40,600000,1.39,0.91,0.77
41,601166,1.39,0.96,0.79
42,600837,1.38,0.71,0.75
43,601857,1.38,0.89,0.73
44,601198,1.35,0.73,0.73
45,601989,1.33,0.69,0.86
46,600100,1.3,0.82,0.85
47,601169,1.27,0.81,0.8
48,601985,1.27,0.93,0.79
49,601390,1.26,0.84,0.73
50,600406,1.19,1.03,0.82
