股票代码    投资收益    实际涨幅    准确率      
600000      1.39        0.91        0.77       
600016      1.54        0.85        0.79       
600028      1.84        1.15        0.80       
600029      2.41        1.34        0.76       
600030      1.74        1.17        0.76       
600036      2.56        1.52        0.81       
600048      2.76        1.53        0.81       
600050      1.71        0.87        0.84       
600100      1.30        0.82        0.85       
600104      2.08        1.26        0.80       
600109      1.66        0.64        0.79       
600111      2.31        1.03        0.75       
600406      1.19        1.03        0.82       
600518      1.71        1.05        0.79       
600519      2.32        2.00        0.79       
600547      1.56        0.77        0.81       
600637      1.40        0.74        0.77       
600837      1.38        0.71        0.75       
600887      2.53        1.58        0.81       
600893      2.21        0.80        0.79       
600958      1.42        0.75        0.75       
600999      1.62        1.00        0.77       
601006      1.88        1.16        0.81       
601088      1.99        1.23        0.82       
601166      1.39        0.96        0.79       
601169      1.27        0.81        0.80       
601186      1.70        0.80        0.75       
601198      1.35        0.73        0.73       
601211      1.43        0.93        0.78       
601288      1.97        1.20        0.83       
601318      3.08        1.82        0.77       
601328      1.52        1.03        0.79       
601336      2.29        0.95        0.78       
601377      1.53        0.83        0.77       
601390      1.26        0.84        0.73       
601398      1.93        1.32        0.80       
601601      3.00        1.14        0.83       
601628      1.83        0.97        0.76       
601668      1.75        0.94        0.76       
601688      2.11        1.00        0.80       
601766      1.72        0.96        0.75       
601788      1.43        0.78        0.80       
601800      1.66        0.84        0.78       
601818      1.59        0.99        0.82       
601857      1.38        0.89        0.73       
601901      1.44        0.76        0.79       
601985      1.27        0.93        0.79       
601988      1.73        1.07        0.82       
601989      1.33        0.69        0.86       
601998      1.73        0.93        0.79       
