Days        Gain        Price       Right      
0           1.39        0.91        0.77       
50          1.43        1.03        0.77       
100         1.48        1.05        0.78       
150         1.54        1.03        0.81       
200         1.53        1.02        0.81       
250         1.42        0.96        0.80       
300         1.57        1.01        0.79       
350         2.02        1.24        0.81       
400         2.13        0.97        0.81       
450         2.22        1.11        0.82       
500         2.98        1.18        0.81       
550         4.18        1.81        0.82       
600         4.28        1.89        0.83       
650         3.24        1.55        0.79       
700         3.21        2.05        0.80       
750         2.63        1.72        0.78       
800         2.36        1.52        0.79       
850         2.17        1.22        0.76       
900         2.13        0.93        0.77       
950         2.27        0.85        0.77       
1000        2.58        1.01        0.78       
1050        3.30        1.26        0.78       
1100        3.04        1.32        0.77       
1150        2.21        0.88        0.74       
1200        2.06        1.11        0.73       
1250        2.05        1.27        0.73       
1300        1.64        1.00        0.71       
1350        1.32        0.73        0.71       
1400        1.36        0.67        0.71       
1450        1.64        0.93        0.74       
1500        1.71        0.93        0.74       
1550        1.85        0.80        0.75       
1600        1.84        0.80        0.75       
1650        1.76        0.74        0.76       
1700        1.93        0.93        0.77       
1750        1.67        0.69        0.78       
1800        1.93        0.89        0.80       
1850        1.81        0.85        0.80       
1900        2.67        1.20        0.82       
1950        3.26        2.01        0.83       
2000        3.91        2.39        0.82       
2050        4.96        1.49        0.81       
2100        4.57        1.08        0.79       
2150        5.76        1.19        0.80       
2200        4.02        0.50        0.77       
2250        4.34        0.36        0.78       
2300        4.39        0.35        0.80       
2350        5.64        0.90        0.81       
2400        6.28        1.22        0.82       
2450        6.24        1.55        0.81       
2500        9.89        4.46        0.82       
2550        9.79        6.50        0.82       
2600        8.41        4.45        0.81       
2650        6.63        3.87        0.82       
2700        4.59        3.57        0.83       
2750        4.25        3.29        0.83       
2800        3.07        2.02        0.84       
2850        2.58        1.69        0.83       
2900        2.31        1.86        0.83       
2950        2.09        1.60        0.81       
3000        1.84        1.30        0.80       
3050        1.73        0.98        0.79       
3100        1.59        0.91        0.77       
3150        1.36        0.62        0.77       
3200        1.36        0.63        0.77       
3250        1.74        0.75        0.78       
3300        1.82        0.71        0.77       
3350        1.69        0.74        0.76       
3400        1.92        0.72        0.77       
3450        2.61        1.07        0.79       
3500        2.28        1.13        0.81       
3550        1.76        0.77        0.80       
3600        1.96        0.89        0.81       
3650        2.31        1.07        0.84       
3700        2.39        1.28        0.83       
3750        1.74        0.94        0.83       
3800        1.82        0.99        0.81       
3850        1.80        0.91        0.80       
3900        1.66        0.85        0.80       
3950        1.40        0.81        0.80       
4000        1.23        0.71        0.82       
4050        1.25        0.77        0.81       
4100        1.26        0.64        0.82       
4150        1.22        0.84        0.80       
4200        1.19        0.81        0.79       
4250        1.24        0.77        0.79       
4300        1.22        0.21        0.77       
4350        1.19        0.19        0.77       
4400        1.22        0.22        0.75       
4450        1.25        0.21        0.77       
4500        1.29        0.23        0.77       
4550        1.43        0.25        0.78       
4600        1.40        0.91        0.77       
4650        1.46        1.06        0.78       
4700        1.46        0.98        0.78       
4750        1.52        1.02        0.80       
4800        1.51        1.03        0.81       
4850        1.42        1.01        0.79       
4900        1.56        1.11        0.80       
4950        2.01        1.17        0.81       
